Topic,Words,Frequency,Timestamp,Name
126,"history, processes, lesson, learn, elaborations",6,2022-01-02 17:45:36,126_history_learn_lesson_lessons
127,"favour, voting, shall, motion, anywhere",5,2022-01-02 17:45:36,127_favour_vote_measure_resolution
128,"slittle, antithetical, plurality, bitch, beliefs",2,2022-01-02 17:45:36,128_politics_political_stress_blackmail
129,"restaurants, restaurant, opening, catering, restricted",79,2022-01-02 17:45:36,129_restaurants_restaurant_opening_cater...
130,"holesful, system, hopeless, patches, delighted",4,2022-01-02 17:45:36,130_system_systems_defective_wrong
131,"agendas, amendments, invite, proceed, examination",3,2022-01-02 17:45:36,131_examination_proceed_invite_represent...
133,"permission, says, president, withauthority, forbidden",17,2022-01-02 17:45:36,133_permission_says_president_withauthor...
134,"wind, ideal, power, kind, period",1,2022-01-02 17:45:36,134_wind_power_windmills_frame
135,"ffp2, wearer, masks, 98, wear",2,2022-01-02 17:45:36,135_masks_mask_ffp2_obligation
136,"marriage, divorce, married, businessman, wedding",73,2022-01-02 17:45:36,136_marriage_divorce_married_wedding
137,"amendment, withdrawal, withdraw, agenda, withdrawn",31,2022-01-02 17:45:36,137_withdraw_amendment_amendments_withdr...
138,"growth, unemployment, rearers, fruitless, groceries",11,2022-01-02 17:45:36,138_growth_unemployment_economic_rebound
139,"veterinary, medicinal, animals, animal, product",13,2022-01-02 17:45:36,139_animals_animal_veterinary_medicinal
140,"stewardess, painting, shift, bsrb, hours",3,2022-01-02 17:45:36,140_hours_rest_stress_shift
141,"interoperability, processes, telematic, reorder, renewal",2,2022-01-02 17:45:36,141_contracting_procurement_stations_con...
142,"responsibility, fare, meal, shoulder, shelters",4,2022-01-02 17:45:36,142_responsibility_responsible_responsib...
143,"penetrating, aggressors, prefecture, episodes, representing",2,2022-01-02 17:45:36,143_protesters_demonstrations_police_pro...
144,"illegally, purchased, various, user, obtained",3,2022-01-02 17:45:36,144_data_personal_information_storage
145,"violence, domestic, stress, abuse, sexual",23,2022-01-02 17:45:36,145_violence_abuse_sexual_domestic
146,"registered, santanché, speak, modena, bonino",3,2022-01-02 17:45:36,146_registered_speak_senator_modena
147,"epidemic, covid, euros, tourization, closing",3,2022-01-02 17:45:36,147_eur_euros_allocated_billion
148,"emergency, exceptional, intangibility, moloc, totem",16,2022-01-02 17:45:36,148_emergency_emergencies_exceptional_91...
150,"visitors, committee, comments, reviews, received",11,2022-01-02 17:45:36,150_visitors_guests_discussed_received
151,"investment, investments, arcadia, assets, suitable",9,2022-01-02 17:45:36,151_investment_investments_invest_invest...
152,"trust, smokeless, fingers, immense, spread",3,2022-01-02 17:45:36,152_trust_broken_rebuild_glue
153,"resumed, suspended, sitting, 12, at",10,2022-01-02 17:45:36,153_resumed_suspended_sitting_12
154,"insurance, companies, interaction, optional, disaster",22,2022-01-02 17:45:36,154_insurance_companies_company_pencils
155,"goals, ambition, reach, ambitious, reaching",9,2022-01-02 17:45:36,155_goals_ambitious_reach_goal
156,"reforms, stress, reform, breakthrough, keys",5,2022-01-02 17:45:36,156_reform_reforms_stress_majority
157,"g1, agenda, g4, stress, favour",9,2022-01-02 17:45:36,157_agenda_g1_favour_mr
158,"reminds, period, limited, minute, speech",14,2022-01-02 17:45:36,158_reminds_minute_speakers_speech
159,"nurses, hospital, doctors, graduation, stress",16,2022-01-02 17:45:36,159_nurses_hospital_stress_doctors
160,"hospital, insurance, health, disease, iceland",16,2022-01-02 17:45:36,160_insurance_hospital_health_iceland
161,"enlisted, speak, coltorti, he, mirabelli",5,2022-01-02 17:45:36,161_enlisted_speak_he_senator
162,"permit, patent, job, employment, license",25,2022-01-02 17:45:36,162_permit_employment_job_patent
163,"colleagues, unpleasant, postpone, adults, contact",5,2022-01-02 17:45:36,163_colleagues_silence_voice_volume
164,"challenges, challenge, manna, challenging, opportunities",10,2022-01-02 17:45:36,164_challenges_challenge_challenging_fac...
165,"rufa, enlisted, errani, wisdom, recognized",2,2022-01-02 17:45:36,165_enlisted_speak_senator_arrigoni
166,"rule, tracers, rules, ridiculous, updated",5,2022-01-02 17:45:36,166_rules_rule_regulations_purpose
167,"poorest, provinces, most, new, nigeria",1,2022-01-02 17:45:36,167_nigeria_africa_niger_city
168,"session, agenda, meet, tuesday, following",7,2022-01-02 17:45:36,168_session_agenda_meet_following
169,"help, spoon, knife, safely, fortunate",11,2022-01-02 17:45:36,169_help_spoon_knife_compassion
170,"gender, women, men, covariates, hicklu",7,2022-01-02 17:45:36,170_women_men_gender_sexes
171,"81, 5th, contrary, roll, angrisani",5,2022-01-02 17:45:36,171_81_5th_contrary_roll
172,"lustre, saturday, palace, seat, piece",2,2022-01-02 17:45:36,172_parma_regio_teatro_verdi
173,"agree, senator, legalizing, completely, understands",9,2022-01-02 17:45:36,173_agree_senator_completely_what
174,"better, lift, virtuous, completion, foundations",4,2022-01-02 17:45:36,174_better_do_we_need
175,"roll, tabled, simultaneous, granato, refer",18,2022-01-02 17:45:36,175_roll_tabled_simultaneous_call
177,"francis, árelíus, níelsson, priest, redemption",3,2022-01-02 17:45:36,177_francis_assisi_st_saint
178,"instill, immersed, solidarity, duty, lift",6,2022-01-02 17:45:36,178_solidarity_mediation_cohesion_togeth...
179,"council, parliamental, conceal, reassign, inform",6,2022-01-02 17:45:36,179_council_office_president_adjective
180,"commentors, bureau, reliable, passion, unite",6,2022-01-02 17:45:36,180_commission_stress_constructive_agree...
181,"cost, decompositions, costly, denial, explaining",5,2022-01-02 17:45:36,181_cost_expensive_costs_gonna
182,"frame, satisfying, award, submitted, plan",2,2022-01-02 17:45:36,182_frame_plan_stage_fourth
183,"closed, sitting, agenda, 04, 02",7,2022-01-02 17:45:36,183_closed_sitting_agenda_see
184,"organic, agrienvironment, schemes, certification, manufacturers",4,2022-01-02 17:45:36,184_organic_farming_fork_farm
185,"mafia, foggia, anti, province, mafias",39,2022-01-02 17:45:36,185_mafia_foggia_anti_mafias
186,"cartabia, professor, call, rapporteur, justice",1,2022-01-02 17:45:36,186_rapporteur_call_senator_alfonso
187,"documents, forwarded, questions, 34, motions",7,2022-01-02 17:45:36,187_documents_forwarded_questions_34
188,"presidency, authorizes, authorise, authorises, note",8,2022-01-02 17:45:36,188_presidency_authorizes_authorise_note
189,"uncertainty, solutions, bulletproof, dwells, solved",5,2022-01-02 17:45:36,189_uncertainty_solutions_solved_solutio...
190,"absent, assignment, communications, leave, published",7,2022-01-02 17:45:36,190_absent_assignment_communications_lea...
191,"pass, green, super, passes, infected",13,2022-01-02 17:45:36,191_pass_green_super_strengthened
192,"millions, billion, hundreds, 1231, maximal",6,2022-01-02 17:45:36,192_billion_millions_100_hundreds
193,"abstain, against, disagree, proposal, vote",6,2022-01-02 17:45:36,193_abstain_against_abstention_vote
194,"company, companies, steepness, scrutinizing, sleeps",10,2022-01-02 17:45:36,194_companies_company_epidemic_covid
195,"approve, annex, doesn, followed, senate",10,2022-01-02 17:45:36,195_approve_annex_doesn_followed
196,"hammamet, bettino, matteotti, forte, exile",3,2022-01-02 17:45:36,196_matteotti_giacomo_socialist_1924
197,"devour, corruption, scourge, undermine, constant",1,2022-01-02 17:45:36,197_corruption_bribes_bribe_bribery
198,"sec, way, supposed, just, longer",5,2022-01-02 17:45:36,198_way_supposed_happens_happening
199,"plan, plans, decomposition, publish, partial",6,2022-01-02 17:45:36,199_plan_plans_operation_fashioned
200,"g9, agendas, accepted, g4, agenda",7,2022-01-02 17:45:36,200_accepted_agenda_g9_having
201,"money, sthe, 371, cc, moviemakers",6,2022-01-02 17:45:36,201_money_funds_spent_guns
202,"maria, bashir, herat, luigi, grandmother",3,2022-01-02 17:45:36,202_romana_maria_gasperi_de
204,"wood, mila, woods, land, agrienvironments",8,2022-01-02 17:45:36,204_wood_land_shallow_forestry
207,"roll, simultaneous, tabled, refer, call",10,2022-01-02 17:45:36,207_roll_simultaneous_tabled_refer
208,"reykjavík, city, airport, cheflavour, capital",11,2022-01-02 17:45:36,208_reykjavík_city_airport_capital
209,"miss, limitations, policy, standard, poor",2,2022-01-02 17:45:36,209_policy_policies_plan_miss
210,"recommend, hereby, legalise, legalize, remuneration",8,2022-01-02 17:45:36,210_recommend_hereby_legalize_correct
211,"blood, transfusions, donate, transfusion, sexual",26,2022-01-02 17:45:36,211_blood_transfusion_transfusions_donat...
212,"billion, concentration, 4503, viewers, million",6,2022-01-02 17:45:36,212_billion_estimated_million_cost
213,"science, scientific, advice, indecision, advocat",11,2022-01-02 17:45:36,213_science_scientists_scientific_expert...
214,"oral, authorisation, carry, requested, rapporteur",6,2022-01-02 17:45:36,214_oral_carry_authorisation_requested
215,"language, languages, inner, screen, emphasis",2,2022-01-02 17:45:36,215_language_languages_english_linguists
216,"accepted, comments, request, made, were",6,2022-01-02 17:45:36,216_accepted_comments_request_made
217,"proceed, shall, amendment, vote, now",7,2022-01-02 17:45:36,217_proceed_shall_amendment_vote
218,"crisis, global, smiling, emerging, stick",4,2022-01-02 17:45:36,218_crisis_economic_crises_economy
219,"explain, minutes, three, question, covid",7,2022-01-02 17:45:36,219_explain_minutes_three_question
220,"swabs, amendment, rejected, amendments, tabled",10,2022-01-02 17:45:36,220_amendment_amendments_rejected_tabled
221,"comment, representative, agenda, rapporteur, call",2,2022-01-02 17:45:36,221_rapporteur_representative_comment_ag...
223,"approve, annex, doesn, followed, senate",13,2022-01-02 17:45:36,223_approve_annex_doesn_followed
224,"nuclear, weapons, disarmament, npt, powers",21,2022-01-02 17:45:36,224_nuclear_weapons_npt_disarmament
225,"gets, love, stopped, amazing, worst",4,2022-01-02 17:45:36,225_reality_fantasy_situation_face
227,"synonym, form, proposal, submitted, presidential",22,2022-01-02 17:45:36,227_synonym_proposed_form_proposal
228,"finishing, rule, vote, roll, simultaneous",2,2022-01-02 17:45:36,228_rule_roll_simultaneous_refer
229,"81, 5th, contrary, tabled, gave",10,2022-01-02 17:45:36,229_81_5th_contrary_requested
230,"biotechnology, trieste, genetic, engineering, advancement",1,2022-01-02 17:45:36,230_organic_agri_pantelleria_italy
231,"easy, simple, hospital, limiting, sudden",6,2022-01-02 17:45:36,231_easy_simple_stress_reconstruction
232,"invitation, vain, 15th, brussels, directors",2,2022-01-02 17:45:36,232_invitation_successful_invitations_cl...
234,"disasters, natural, disaster, insurance, epidemic",27,2022-01-02 17:45:36,234_disasters_natural_disaster_earthquak...
235,"presidents, 55, schedule, vice, proceedings",7,2022-01-02 17:45:36,235_presidents_proceedings_55_vice
237,"695, 615, updates, 64, 136",5,2022-01-02 17:45:36,237_000_no_2018_number
238,"rygúsavík, harbor, stadium, palaces, village",1,2022-01-02 17:45:36,238_reykjavík_apartments_housing_apartme...
239,"explanation, examples, explanatory, meaningful, explain",12,2022-01-02 17:45:36,239_examples_example_explanation_give
240,"justifying, costume, thank, pity, record",1,2022-01-02 17:45:36,240_thank_record_senator_answer
241,"113, pursuant, accepted, procedure, request",3,2022-01-02 17:45:36,241_pursuant_113_accepted_procedure
243,"changes, variant, originals, tilt, transforms",15,2022-01-02 17:45:36,243_changes_change_simplification_order
244,"freedom, free, unnegotiable, democratically, talent",11,2022-01-02 17:45:36,244_freedom_free_freedoms_obstacle
245,"priorities, meddle, priority, yourself, success",5,2022-01-02 17:45:36,245_priorities_priority_stress_setting
246,"ministers, minister, prime, affairs, marine",7,2022-01-02 17:45:36,246_ministers_minister_prime_answer
248,"foreigners, residence, applying, alien, change",5,2022-01-02 17:45:36,248_foreigners_immigrants_alien_laws
251,"speech, my, swerve, misdeeds, forgot",7,2022-01-02 17:45:36,251_speech_my_second_talk
252,"deleterious, children, kids, sample, child",3,2022-01-02 17:45:36,252_children_child_interests_kids
253,"dissent, explanation, speak, group, ask",3,2022-01-02 17:45:36,253_dissent_explanation_group_speak
254,"floor, note, give, take, move",3,2022-01-02 17:45:36,254_floor_note_give_take
255,"mental, hospital, iceland, health, wards",12,2022-01-02 17:45:36,255_mental_hospital_health_iceland
257,"2nd, suggest, business, referred, committee",12,2022-01-02 17:45:36,257_2nd_suggest_referred_business
258,"film, metabolic, music, press, suggestions",2,2022-01-02 17:45:36,258_film_filmmaking_movie_industry
259,"powerfully, innovation, solutions, remote, technology",4,2022-01-02 17:45:36,259_innovation_technology_solutions_rese...
260,"resignation, björn, workforce, letter, red",2,2022-01-02 17:45:36,260_letter_written_request_received
261,"steroids, factories, meat, production, expensive",1,2022-01-02 17:45:36,261_milk_meat_industry_dairy
262,"dobbles, song, mixer, tunes, spinning",5,2022-01-02 17:45:36,262_song_mellow_songs_lyrics
263,"concentrations, tequifer, penances, plead, bargain",7,2022-01-02 17:45:36,263_agreement_negotiations_conditions_ag...
265,"favour, am, amendment, wasting, 46",4,2022-01-02 17:45:36,265_text_favour_amendment_am
266,"debt, growth, collections, ratios, stop",3,2022-01-02 17:45:36,266_debt_2026_collection_stop
267,"sitting, minutes, secretary, giro, pisani",7,2022-01-02 17:45:36,267_minutes_sitting_secretary_giro
268,"dental, refuse, desperates, services, working",2,2022-01-02 17:45:36,268_dental_teeth_dentists_children
269,"caramel, peppermint, marzipan, flavors, while",1,2022-01-02 17:45:36,269_flavors_flavor_taste_fruit
270,"red, cross, contract, extended, extend",11,2022-01-02 17:45:36,270_red_cross_contract_hornbeam
271,"narcotics, eruptions, extraction, consume, dangers",6,2022-01-02 17:45:36,271_no_requirement_foreboding_kaläl
272,"cyp3a4, medicinal, authorised, monoclonals, ema",5,2022-01-02 17:45:36,272_bioavailability_cyp3a4_medicinal_pha...
273,"young, youth, rated, yearn, peers",6,2022-01-02 17:45:36,273_young_youths_youth_people
274,"eye, keep, entrenched, mind, deeply",8,2022-01-02 17:45:36,274_keep_mind_eye_impulsive
275,"rapporteur, call, therefore, working, rojc",6,2022-01-02 17:45:36,275_rapporteur_call_therefore_rojc
276,"prosecutor, diamond, mps, magistrates, bertini",16,2022-01-02 17:45:36,276_prosecutor_magistrates_court_rome
277,"list, normally, risk, left, asked",1,2022-01-02 17:45:36,277_list_lists_he_information
278,"rapporteur, agree, mr, president, with",7,2022-01-02 17:45:36,278_rapporteur_agree_mr_president
279,"verge, urgent, urgency, hence, adoption",4,2022-01-02 17:45:36,279_immediately_action_immediate_quickly
280,"currency, wish, maintain, maybe, free",2,2022-01-02 17:45:36,280_currency_euro_dollar_swinging
283,"islands, insularity, super, mainland, petitions",4,2022-01-02 17:45:36,283_islands_insularity_119_stress
284,"covid, epidemic, disease, virus, icelanders",11,2022-01-02 17:45:36,284_covid_epidemic_virus_disease
285,"mg, sr, mgr, 18th, par",5,2022-01-02 17:45:36,285_mg_uh_par_1st
286,"disease, prevention, preventive, combination, inseparable",10,2022-01-02 17:45:36,286_disease_prevention_focusing_prevent
287,"project, undo, projects, worth, solve",5,2022-01-02 17:45:36,287_project_projects_started_seaguard
288,"group, indiscriminately, groups, iv, suppose",6,2022-01-02 17:45:36,288_group_groups_stress_root
289,"epidemic, extremely, think, something, look",9,2022-01-02 17:45:36,289_important_think_fundamental_picture
290,"explanation, speak, ask, vote, you",1,2022-01-02 17:45:36,290_explanation_speak_ask_vote
293,"sitting, 113, star, electronic, inform",3,2022-01-02 17:45:36,293_sitting_113_star_electronic
295,"sassoli, david, condolence, disappearance, mourn",7,2022-01-02 17:45:36,295_basilicata_coviello_romualdo_carrara
296,"pools, swimming, runs, ten, closed",1,2022-01-02 17:45:36,296_beaches_beach_bathing_concessions
297,"worried, dana, screwed, mine, isn",5,2022-01-02 17:45:36,297_worried_worry_mine_problem
