Topic,Count,Name,Representation,Representative_Docs
21,569,21_tax_taxes_income_taxation,"['tax', 'taxes', 'income', 'taxation', 'credits', 'pay', 'reform', 'estate', 'burden', 'system']","['Changes are in the form of public tax doctors, tax reforms, reductions in insurance fees, increases in genetic tax revenues, changes in capital income taxes, and decrease in bank tax.', 'This includes: changes in various tax and tax laws.', 'But that tax is taken from them.']"
22,561,22_bank_iceland_banks_sales,"['bank', 'iceland', 'banks', 'sales', 'sale', 'icelandic', 'banking', 'selling', 'property', 'sold']","[""In fact, how can we give evidence that it is wise for the State to take the money that the state truly has in the banks and, for example, now that it is in the bank? what remains in Iceland banks, and is of significant value, changing it from something that doesn't bring money into the bank of state, such as a bank bank of society?"", 'Did the state pay for Iceland Bank?', 'The bank at Iceland Bank is a very important subject.']"
23,559,23_refugees_refugee_welcome_fleeing,"['refugees', 'refugee', 'welcome', 'fleeing', 'countries', 'syria', 'people', 'flee', 'reception', 'asylum']","['The last support of the plan is about refugees.', ""They're not talking about refugees."", 'I agree with you, too. It is important that we welcome those who come here, and it is important that we be in agreement with the way we welcome the refugees and the refugees because we have received very well the refugees.']"
24,551,24_discussion_discuss_conversation_interesting,"['discussion', 'discuss', 'conversation', 'interesting', 'talk', 'll', 'gonna', 'wanted', 'here', 'want']","[""We're here to have this discussion."", 'But this is just an important discussion here.', ""But that's not the discussion here.""]"
25,538,25_mental_health_hospital_services,"['mental', 'health', 'hospital', 'services', 'psychological', 'care', 'psychiatric', 'illness', '2030', 'psychologists']","['But it is when it comes to mental health and health matters.', 'Finally, I again have the opportunity to talk about my mental-health issues and mental-health services.', 'There is a need for mental health care.']"
26,537,26_investors_sale_qualified_sold,"['investors', 'sale', 'qualified', 'sold', 'buyers', 'professional', 'invitation', 'bought', 'investor', 'buy']","['There was talk of big investors, professional investors, a career for the public in the country.', 'Now it would be time for qualified investors, professional investors, and for this, there would be some arguments.', 'Who were discussed as long-term investors, and who were short-term investors?']"
27,528,27_artists_art_artist_musicians,"['artists', 'art', 'artist', 'musicians', 'entertainment', 'music', 'arts', 'culture', 'covid', 'sector']","['But the list of artists is really very long.', 'At least we were talking about an increase in artists there.', 'But we need to reason as a community on how we can support art, and I especially want to look to new artists, young artists.']"
28,526,28_council_here_members_hall,"['council', 'here', 'members', 'hall', 'at', 'case', 'disrespect', 'matters', 'councilmen', 'matter']","[""I'm here to talk about the council's work."", ""So it's here and there at the council."", ""That's what the council is for.""]"
29,522,29_nursing_older_elderly_home,"['nursing', 'older', 'elderly', 'home', 'age', 'hospital', 'homes', '67', 'aging', 'old']","['But what about being in a nursing home, perhaps in need?', 'We were all over the country with a so-called nursing home.', 'The first stage is public health care and nursing, as well as a nursing home.']"
30,512,30_thank_rapporteurs_commission_mr,"['thank', 'rapporteurs', 'commission', 'mr', 'undersecretary', 'thanks', 'colleagues', 'like', 'rapporteur', 'president']","['I would also like to thank the rapporteurs.', 'Mr President, thank you to the rapporteurs.', 'Mr President, I would like to thank all my colleagues, the Government and the rapporteurs.']"
31,509,31_mr_madam_president_speech,"['mr', 'madam', 'president', 'speech', 'ladies', 'gentlemen', 'my', 'brief', 'honorable', 'thank']","['This is not good, Mr President.', 'Thank you very much, Madam President.', ""What's this for, Mr. President?""]"
32,505,32_pension_fund_pensions_funds,"['pension', 'fund', 'pensions', 'funds', 'pensioner', 'pensioners', 'pay', 'insurance', 'property', 'money']","['There are 7,000 billion in the pension fund today.', 'As we know, we are now taken to a pension fund.', 'They can be in their own pension fund and care for them, but they have no business in the general pension fund.']"
33,496,33_rural_society_communities_areas,"['rural', 'society', 'communities', 'areas', 'income', 'state', 'population', 'community', 'rurals', 'societies']","['The rural population of this country has independent income institutions, different from, for example. a number of rural areas in the North, where a contract is made annually for the cost of rural society.', 'We need to examine the changes in both the rural and the general rural areas.', ""So I'd like to reiterate what I said before, that in my mind the right of rural society is very important and that we are not doing here some work that's going to be on the rights of these rural communities.""]"
34,488,34_women_violence_men_perpetrators,"['women', 'violence', 'men', 'perpetrators', 'rape', 'gender', 'woman', 'sexual', 'feminicide', 'against']","['From this point of view, the report published by the Parliamentary Committee of Inquiry into Femicide, as well as all forms of gender-based violence, on the possible pathways of psychological treatment of men who are the perpetrators of violence against women to whom they are or have been linked by emotional relationships, appears valuable.', 'The strength of Resolution 1325, which is an important document and legal instrument, is its innovative character, because it gives us some basic indications on how to promote a culture that does not discriminate against women, how to take all measures to prevent violence, how to protect women who are victims of violence, how to punish the perpetrators of crimes against women and how to compensate victims of violence.', 'It is, in fact, a matter not of women, but of the country.']"
35,487,35_election_elections_electoral_votes,"['election', 'elections', 'electoral', 'votes', 'referendum', 'spring', 'autumn', 'district', 'voter', 'abstentionism']","['Then there is no later time for a change in election law. In fact, it is far beyond the standard, such as. An OSE or an election-control program in the world has suggested, which is six months or even a year before elections, i.e. that changes in election law are not made after that time to ensure the safety of the election.', ""I was not able to study the Committee's opinion when the election law was passed, when this complete re-election took place, and we had a whole new election, where we made out to have it in two law columns, on the other hand, the U.S. elections and the U.S. elections, it's just a vote, it's all in the same place."", ""It's not a good position to have so short between election election elections and district elections, because I think it's all right for the public to have a little vacation from elections in between.""]"
36,472,36_inflation_rising_growth_prices,"['inflation', 'rising', 'growth', 'prices', 'covid', 'increase', 'groups', 'harshest', 'higher', 'expected']","['The result for all is increased inflation.', ""For these groups, don't 6.2% of inflation just call inflation, or is it, a financial bill or a bill to follow such counter measures?"", 'There are interest increases, with a rate of 6% inflation, but this is an inflation of the government.']"
37,446,37_vaccine_vaccination_covid_vaccines,"['vaccine', 'vaccination', 'covid', 'vaccines', 'vaccinated', 'virus', 'vaccinations', 'obligation', 'vaccinate', 'dose']","['There are also issues related to health needs, as we are talking about children who do not, in fact, have a traditional vaccine type coverage like ours and not just compared to the Covid.', 'What we are about to vote on is the decree-law that introduces until 15 June 2022 the obligation of vaccination against the Covid-19 for subjects aged 50 years or older, obviously excluding those for whom there is a clinical contra-indication to the vaccination under consideration and those who have contracted the Covid.', 'A campaign that-I would like to remind you-has allowed us to achieve one of the highest virus protection results in Europe; 90% of the vaccination population has completed a vaccination cycle, 8% of the population in general has done so, 88 percent of the population over five years old has had vaccination and has protection against Covid.']"
38,444,38_highest_minister_secretary_finance,"['highest', 'minister', 'secretary', 'finance', 'prime', 'ministers', 'epidemic', 'he', 'disease', 'justice']","['But the highest. The minister did well.', ""It's the highest. A secretary of finance who does so."", ""It's the highest. Secretary of finance to know.""]"
39,432,39_explanation_speak_ask_vote,"['explanation', 'speak', 'ask', 'vote', 'you', 'an', 'for', 'to', 'of', 'ether']","['I ask you to speak for an explanation of vote.', 'I ask you to speak for an explanation of vote.', 'I ask you to speak for an explanation of vote.']"
40,419,40_disabled_disability_persons_impairment,"['disabled', 'disability', 'persons', 'impairment', 'rights', 'people', 'personal', 'assistance', 'convention', 'disabilities']","['The same is true of the disabled.', 'Of course, in line with the United Nations Convention on the rights of disabled people, disabled people get health care as much as others do.', 'It is important to ensure good service to disabled people in line with the United Nations Convention on the rights of disabled people.']"
41,417,41_she_her_herself_ll,"['she', 'her', 'herself', 'll', 'woman', 'going', 'epidemic', 'own', 'agree', 'good']","[""Of course, she's experienced it, and maybe that's why they put her where she is now."", 'She said that she would find out more about this in the days ahead, yet she did not want to say what it was, since she was on her way to Easter break.', ""She must answer for what she says; I'm not going to do it here and now.""]"
42,401,42_farmers_agriculture_agricultural_production,"['farmers', 'agriculture', 'agricultural', 'production', 'vegetables', 'farms', 'farm', 'sector', 'crops', 'consumers']","['I hope, Minister, that politics in general and you in particular, because I am a member of this, when it comes to these sensitive issues, which have an immediate impact on the lives of farmers, on agriculture and on the production of food, also listen directly to farmers and fishermen.', 'Farmers have long called for more money to do this work.', 'Farmers have been talking about food security and the share of agriculture for years, but I think we can be more concerned by government.']"
43,395,43_laws_law_these_breaking,"['laws', 'law', 'these', 'breaking', 'think', 'legal', 'purpose', 'current', 'lyrics', 're']","[""That's what we have the law for."", ""That's why these laws are important."", 'I think these laws are very good.']"
44,393,44_cars_electric_vehicles_car,"['cars', 'electric', 'vehicles', 'car', 'vehicle', 'automobiles', 'electrical', 'emissions', 'trucks', 'fuel']","['It is that in the years when cars for disability have not gone up, the limit is that they are being in want and give people the opportunity to buy electricity cars, that those who are and really have cars, disabled people who cannot afford to spend these things without waiting, are up-to-date, so that they can at least buy these cars.', 'Take it, for example. The electric cars.', ""I'd kind of like to agree that we need more power cars and taxation against electric cars.""]"
45,378,45_thank_senator_you_want,"['thank', 'senator', 'you', 'want', 'inquiry', 'speech', 'answer', 'discussion', 'his', 'bringing']","['I want to thank you. A senator for the answer.', 'I want to thank you. A senator for this answer.', 'I want to thank you. A senator for this discussion.']"
46,373,46_draghi_president_your_mario,"['draghi', 'president', 'your', 'mario', 'mr', 'professor', 'pact', 'you', 'government', 'trust']","['President Draghi, I am sure you will not do that.', 'These are the words of the President of the Draghi Council.', 'Draghi, President of the Council of Ministers.']"
47,366,47_hospital_land_hospitals_management,"['hospital', 'land', 'hospitals', 'management', 'director', 'medical', 'staff', 'health', 'care', 'professional']","[""We're talking national hospital."", 'But here we are talking about the National Hospital.', 'We also know the consequences of the situation at a land hospital for people in the hospital service.']"
48,364,48_parliament_parliamentary_parliamentarians_centrality,"['parliament', 'parliamentary', 'parliamentarians', 'centrality', 'stress', 'members', 'role', 'its', 'majority', 'prerogatives']","[""It is Parliament's job to change the law."", 'In fact, as we are a parliamentary republic, there should be Parliament above the government.', 'Well, this is Parliament and not the government.']"
49,358,49_climate_change_goals_climates,"['climate', 'change', 'goals', 'climates', 'warming', 'global', 'targets', 'environment', 'achieve', 'greenhouse']","['All of this will come into the climate.', ""Climate change is here and it's today, just like us."", ""In this, it's like... Climate policy.""]"
50,354,50_independence_party_left_green,"['independence', 'party', 'left', 'green', 'movement', 'greens', 'advance', 'forward', 'members', 'forwarding']","['I understand very well that the Ministers or members of the Independence Party did not get this, because I have never seen a minister of the Independence Party get this.', ""But, no, the Independence Party doesn't."", 'So I ask, Where is the Independence Party in this matter?']"
51,345,51_movimento_stars_star_movement,"['movimento', 'stars', 'star', 'movement', 'favour', 'colleagues', 'announce', 'group', 'reasons', 'vote']","[""The Movimento 5 Stars has everything in place and we'll show it."", 'I am voting in favour of the Movimento 5 Stars.', 'Mr President, these are the priorities of Movimento 5 Stars.']"
52,337,52_municipalities_mayors_mayor_local,"['municipalities', 'mayors', 'mayor', 'local', 'authorities', 'inhabitants', 'municipality', 'small', 'administrators', 'secretaries']","['We expect greater simplification in the area of management control, especially for small municipalities, and we review the provisions concerning the limitation of the mandate of the mayors of small municipalities.', 'As a former mayor I am obviously very sensitive to everything that is in favour of the municipalities, both because I believe that the mayors, especially of the small municipalities, are in trenches, and therefore must give concrete and immediate answers citizens', 'When it comes to municipalities, account must be taken of the responsibilities of the mayors.']"
53,317,53_health_disease_minister_highest,"['health', 'disease', 'minister', 'highest', 'hospital', 'care', 'healthcare', 'encourage', 'medical', 'conversation']","[""So I want to ask the highest. Minister if he believes that it was a mistake for a health minister during the last term to follow too often a disease prevention specialist's advice."", 'It is not the only case with a health minister.', 'What will health-care minister do about it?']"
54,315,54_transport_road_transportation_roads,"['transport', 'road', 'transportation', 'roads', 'traffic', 'public', 'highway', 'bus', 'capital', 'local']","['I was talking about transportation.', ""Where there's a will, there's a road."", 'Of course, there is a need to be at peace with better transportation, with road transport, and rural areas all in the capital area.']"
55,296,55_labour_unions_labor_workers,"['labour', 'unions', 'labor', 'workers', 'jobs', 'collective', 'market', 'job', 'movement', 'employment']","['The labour market in this country is well organized by the strong labour organisations of employees and employers who negotiate in collective labour agreements for pay and other employment remunerations in a domestic labour market, as well as other factors that concern the interest of employees and employers.', 'In general, the labour market members monitor the provision of collective labour agreements in a domestic labour market.', 'Then came a contract with unions in a public labour market.']"
56,289,56_iceland_energy_climate_emissions,"['iceland', 'energy', 'climate', 'emissions', 'fossil', '2040', 'fuels', 'carbon', 'electricity', 'icelanders']","['The objective of Iceland is to achieve a non-carbon share of carbon and final energy exchanges as late as the year 2040, with the first state being independent of fossil fuels.', 'At the same time, we have set goals for Iceland to achieve non-carbon and total energy exchanges as late as the year 2040 and will be free of fossil fuels first.', 'The government has set an ambitious goal for Iceland to achieve a non-carbon share of carbon and total energy exchanges no later than 2040 and will then be independent of fossil fuels first.']"
57,279,57_decree_law_conversion_aid,"['decree', 'law', 'conversion', 'aid', 'decrees', 'convert', 'ladies', 'gentlemen', 'issued', 'measures']","['There are other issues in this decree-law that have made much discussion.', 'Today in this House we are debating a decree-law which is actually the synthesis of two measures: the aid decree and the so-called bill decree.', 'We are always talking about a decree of two billion, it is not a decree of nothing.']"
58,275,58_finance_secretary_financial_highest,"['finance', 'secretary', 'financial', 'highest', 'ministry', 'knew', 'minister', 'economics', 'responsible', 'responsibility']","[""I'm asking the highest. Secretary of finance: What will he do?"", 'In fact, some of them have little to do with the Ministry of finance, but not exactly with the secretary of finance, no.', ""So that's the secretary of finance.""]"
59,270,59_sweden_finland_nato_atlantic,"['sweden', 'finland', 'nato', 'atlantic', 'alliance', 'baltic', 'finns', 'membership', 'involvement', 'countries']","['The addition agreements have to do with the involvement of Finland and Sweden into the Atlantic Community.', 'The reasons why Sweden and Finland were not party to the fact that NATO is very interesting in history.', ""We here vote for Sweden and Finland's application to the Atlantic Alliance.""]"
60,266,60_accountant_accounting_state_research,"['accountant', 'accounting', 'state', 'research', 'investigation', 'government', 'trust', 'accountants', 'accounts', 'independent']","['The question here is: Do we trust a government accountant?', 'A government accountant cannot do that.', ""It's just an accountant and accounting thing.""]"
61,264,61_tourism_tourists_tourist_travel,"['tourism', 'tourists', 'tourist', 'travel', 'sector', 'companies', 'industry', 'services', 'number', 'country']","['Therefore, it is extremely important that we help small and medium-size services around the country of tourism, whether restaurants, boarding homes, or entertainment companies, to keep these employees working until the spring when we expect to be here in the tourism business and the tourists coming back to us.', 'It discusses much of the challenges faced by tourism in those days, speaks of a decrease in the number of tourists and of predictions about the number of tourists.', 'There are also new opportunities for tourism.']"
62,261,62_pnrr_reform_reforms_objectives,"['pnrr', 'reform', 'reforms', 'objectives', 'implementation', 'mission', 'resources', 'fundamental', 'implement', 'funds']","['We are talking about urgent measures for the implementation of the PNRR.', 'The fourth question is the PNRR.', ""The Government's commitment and the PNRR's resources are being put into action on all of this.""]"
63,251,63_virus_wild_swine_fever,"['virus', 'wild', 'swine', 'fever', 'disease', 'boars', 'boar', 'african', 'pigs', 'pig']","['All this in an already very difficult context arising from the problem of swine fever virus.', 'The considerable resistance of the virus in the environment means that the disease continues to circulate for years, even in wild boar populations with very low density.', 'As stated by ISPRA in the hearings, the considerable resistance of the virus in the environment means that the disease continues to circulate for years even in wild boar populations with very low density( equal to one wild boar every square kilometre) , obviously this where it was decided to eradicate the disease by decreasing the population of wild boars, as it is written in the decree-law.']"
64,247,64_committee_committees_study_opinion,"['committee', 'committees', 'study', 'opinion', 'discussed', 'matter', 'report', 'external', 'reported', 'presented']","['This is reported in a committee study that follows the discussion of the case by the Committee.', ""I think it's important for the committee to get into it."", ""This is reported in a committee meeting, and the committee's opinion is followed by a discussion on the subject.""]"
65,233,65_nicotine_pads_smoking_products,"['nicotine', 'pads', 'smoking', 'products', 'cigarettes', 'tobacco', 'electric', 'refills', 'young', 'smoke']","[""Now I'm talking about nicotine bill."", 'This is about electric cigarettes and nicotine pads.', ""First, I'm going to find that nicotine pads are new products on market than electric cigarettes and refills, and here we are adding nicotine pads.""]"
66,226,66_queer_gay_people_rights,"['queer', 'gay', 'people', 'rights', 'queers', 'sexual', 'affairs', 'lgbt', 'status', 'operation']","['I am glad that there will be an assessment of the well-being of gay children in the school system and that there will be special consideration for the well-being and status of queer children and young people in the schools of the country.', 'Gay children and queer teenagers are a dangerous environment in school today, unfortunately.', 'I also like to think of the position of queer people in the country.']"
67,225,67_cancer_oncology_disease_screening,"['cancer', 'oncology', 'disease', 'screening', 'cancers', 'plan', 'diagnosis', 'patients', 'prevention', 'hospital']","['The future perspective is of an increasing number of people who will survive and live after a diagnosis of cancer thanks to science, medicine and the implementation of the European oncology plan and the Italian oncology plan which is the subject of this motion.', 'In Italy every day we diagnose 1,000 new cases of cancer; there are 3.6 million Italian citizens living with the diagnosis of cancer and almost a million people who have healed from cancer.', 'I especially think about the cancer-related society of children.']"
68,223,68_media_radio_journalists_press,"['media', 'radio', 'journalists', 'press', 'commercial', 'advertising', 'free', 'news', 'market', 'private']","['Free media are important for democracies in the community, but it is of course important that information about both management, policy and media is transparent and clear, so we know who is behind the media.', ""In the 19 media media, the main objective of the government in the media is to promote democracies and democracies by promoting the communication pool and increasing the diversity of the media as well as to create a work environment that contributes to the more efficient media communication in public use by active participation in different and diverse media, the media as well as the State's TV."", 'You can see that the media is at all times controlled by media media media, whether it is in the private market or by state-power media.']"
69,205,69_transport_environment_committee_environmental,"['transport', 'environment', 'committee', 'environmental', 'committees', 'case', 'suggest', '2nd', 'review', 'bill']","[""I'm on the Environment and Transport Committee, not at the last assembly."", ""I'm on a transport and environment committee and there this case will be discussed."", 'I agree that this is at the Committee on Environment and Transport.']"
70,201,70_hv_senator_asks_disease,"['hv', 'senator', 'asks', 'disease', 'spoke', 'mentions', 'mentioned', 'referred', 'brings', 'introduces']","['Hv. The senator discussed this particular bill.', 'Hv. A senator asked what was being done about it.', 'Hv. A senator referred to energy.']"
71,196,71_wage_salary_pay_remuneration,"['wage', 'salary', 'pay', 'remuneration', 'minimum', 'labour', 'reimbursement', 'wages', 'compensation', 'lowest']","['In agreement with the labour market, there will be an increase in the risk of penalties if the employer violates the minimum remuneration of the salary.', 'In 1980 this was in force in the country of the remuneration Act and the related insurance of pensions, which included it requires that salary and other remuneration be negotiated by the labour market organisation as a minimum salary in the Icelandic labour market.', 'In the labor movement, there has been an increase in the lowest salary, and this has often been an increase over the pay number, the increase in the minimum salary over the pay number.']"
72,196,72_refugees_ukraine_ukrainian_reception,"['refugees', 'ukraine', 'ukrainian', 'reception', 'minors', 'unaccompanied', 'fleeing', 'fled', 'ukrainians', 'refugee']","['There are an increase in the number of refugees from Ukraine who are fleeing the serious situation there and the threat of war there.', 'Now, of course, it is good to see that there are enough refugees from Ukraine, but I wondered a few things about this route to meet refugees.', 'Finally, even more recently, they face the reception of refugees from Ukraine.']"
73,195,73_withdrawn_amendments_amendment_17,"['withdrawn', 'amendments', 'amendment', '17', 'been', '11', '20', '16', '13', '10']","['Amendment 4.0.1 has been withdrawn.', 'Amendment 4.1 has been withdrawn.', 'Amendment 2.2 has been withdrawn.']"
74,194,74_discrimination_race_ethnic_equal,"['discrimination', 'race', 'ethnic', 'equal', 'background', 'regardless', 'treatment', 'factors', 'discriminated', 'outside']","['It is now, a respectable president, that I think it was 2018 that we passed a prohibition against discrimination on the grounds of race or background and color status, and it was not allowed to set a general law that similarly prohibited discrimination on the basis of disability and other discrimination factors.', ""That's the real discrimination."", ""No, I don't think there's any discrimination at all, but it's there, and if there's discrimination, there's a particular need to be taken care of.""]"
75,190,75_his_he_him_man,"['his', 'he', 'him', 'man', 'david', 'passion', 'political', 'passionate', 'life', 'great']","['A hundred years after his birth, as well as remembering who he was and what he did, it is important to reflect on what remains of political action, of his ideas, of his progressive drive with which he dealt with current issues.', 'He leaves us a man from the mountain, a man from his valley, a man who has never lost his roots and who saw in politics the opportunity to give voice to the territory.', 'As I said, he was passionate and passionate, in love with his mountain, his beautiful country, he has always distinguished himself for his love for his land.']"
76,190,76_contracts_172_contract_pay,"['contracts', '172', 'contract', 'pay', '2022', 'treaties', 'year', '90', 'period', 'operator']","['But does that give you more contracts?', '700 contracts during this lead-in period, of which 172 contracts are contracts in 2022, but based on information related to this adaptation period. paritaprevir Jóhann, Páll Jóhannsson, are on the table before, the contracts are only 80 or 90, and so it is not in accordance with the commitments involved in this provision for making these agreements approved by the 2018 law, so there is still an argument about this.', 'Do we need to have more contracts?']"
